"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"KKA-003";"Keskkond";"Aruandlus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Kliendile tasuta";"https://eteenus.keskkonnaamet.ee/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"TJA-054";"Side ja meedia";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/sideteenused/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"VTA-010";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/kodanik/liiklus_ja_liiklusvahendid/sisenemine_elektroonilisse_mereinfosusteemi";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-014";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/portaal/!evormid.saatmine?isik=H";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-018";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/piiriulene-pki/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-020";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/dvk-liitumine/";"Eesti.osutamistearv";604;"Eesti";"osutamistearv"
"RIA-021";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-022";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-023";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-024";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-025";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-026";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/autoriseerimine";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-027";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/ametlik_eesti_ee_postisusteem";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-028";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/x_tee_paringute_esitluskiht_pepe";"Eesti.osutamistearv";15;"Eesti";"osutamistearv"
"RIA-029";"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/teavituskalender_3/teavituskalender_2";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RIA-031";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/kodanik/riigiportaali_abi/ametliku_e_posti_seadistamine";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"KA-001";"Transport";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"KA-002";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"KA-003";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"KA-004";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"KA-005";"Side ja meedia";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"MKM-049";"Eluase";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/eluase_1/registreeritud_vallasvara_andmeid_ehitisregistris";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"MKM-046";"Eluase";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/eluase_1/ehitised_katastriuksustel_alamparing";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"MKM-017";"Ettevõtlus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/registreeringu_otsing";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"MKM-006";"Erinõuetega tegevusalad";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/too_ja_toosuhted/tegevusloa_otsing";"Eesti.osutamistearv";0;"Eesti";"osutamistearv"
"RA-007";"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Riigilõiv, riigimaks (tollimaks)";"www.eesti.ee";"Eesti.osutamistearv";NA;"Eesti";"osutamistearv"
"RA-008";"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Teenustasu";"www.eesti.ee";"Eesti.osutamistearv";NA;"Eesti";"osutamistearv"
"TJA-054";"Side ja meedia";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/sideteenused/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"VTA-010";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/kodanik/liiklus_ja_liiklusvahendid/sisenemine_elektroonilisse_mereinfosusteemi";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-014";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/portaal/!evormid.saatmine?isik=H";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-018";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/piiriulene-pki/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-020";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/dvk-liitumine/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-021";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-022";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-023";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-024";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-025";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-026";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/autoriseerimine";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-027";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/ametlik_eesti_ee_postisusteem";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-028";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/x_tee_paringute_esitluskiht_pepe";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-029";"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/teavituskalender_3/teavituskalender_2";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RIA-031";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/kodanik/riigiportaali_abi/ametliku_e_posti_seadistamine";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"KA-001";"Transport";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"KA-002";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"KA-003";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"KA-004";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"KA-005";"Side ja meedia";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"MKM-049";"Eluase";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/eluase_1/registreeritud_vallasvara_andmeid_ehitisregistris";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"MKM-046";"Eluase";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/eluase_1/ehitised_katastriuksustel_alamparing";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"MKM-017";"Ettevõtlus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/registreeringu_otsing";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"MKM-006";"Erinõuetega tegevusalad";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/too_ja_toosuhted/tegevusloa_otsing";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"RA-007";"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Riigilõiv, riigimaks (tollimaks)";"www.eesti.ee";"Eesti.rahulolu";NA;"Eesti";"rahulolu"
"RA-008";"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Teenustasu";"www.eesti.ee";"Eesti.rahulolu";NA;"Eesti";"rahulolu"
"TJA-054";"Side ja meedia";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/sideteenused/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"VTA-010";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/kodanik/liiklus_ja_liiklusvahendid/sisenemine_elektroonilisse_mereinfosusteemi";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-014";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/portaal/!evormid.saatmine?isik=H";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-018";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/piiriulene-pki/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-020";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/dvk-liitumine/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-021";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-022";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-023";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-024";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-025";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-026";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/autoriseerimine";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-027";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/ametlik_eesti_ee_postisusteem";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-028";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/x_tee_paringute_esitluskiht_pepe";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-029";"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/ettevotja/riigiportaali_abi/partnerile_1/teavituskalender_3/teavituskalender_2";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RIA-031";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teemad/kodanik/riigiportaali_abi/ametliku_e_posti_seadistamine";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"KA-001";"Transport";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"KA-002";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"KA-003";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"KA-004";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"KA-005";"Side ja meedia";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/sisenemine_mtr_i_ettevotja_kasutajana_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"MKM-049";"Eluase";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/eluase_1/registreeritud_vallasvara_andmeid_ehitisregistris";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"MKM-046";"Eluase";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/eluase_1/ehitised_katastriuksustel_alamparing";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"MKM-017";"Ettevõtlus";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/load_ja_registreeringud/registreeringu_otsing";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"MKM-006";"Erinõuetega tegevusalad";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/kodanik/too_ja_toosuhted/tegevusloa_otsing";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"RA-007";"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Riigilõiv, riigimaks (tollimaks)";"www.eesti.ee";"Eesti.halduskulu";NA;"Eesti";"halduskulu"
"RA-008";"Arhiivindus";"Kinnitus / tõend";"Haridus- ja Teadusministeeriumi haldusala";"Rahvusarhiiv";"Teenustasu";"www.eesti.ee";"Eesti.halduskulu";NA;"Eesti";"halduskulu"
"TJA-054";"Side ja meedia";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/sideteenused/";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"VTA-010";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Riigilõiv, riigimaks (tollimaks)";"https://www.eesti.ee/est/teenused/kodanik/liiklus_ja_liiklusvahendid/sisenemine_elektroonilisse_mereinfosusteemi";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"RIA-014";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/portaal/!evormid.saatmine?isik=H";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"RIA-018";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/piiriulene-pki/";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"RIA-020";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/dvk-liitumine/";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"RIA-021";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"RIA-022";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"RIA-023";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/taristu/";"Eesti.ajakulu";0;"Eesti";"ajakulu"
