"nimetus";"allasutus";"link";"variable";"value";"kanal";"naitaja"
"Veeremi remondiloa väljastamine";"Tehnilise Järelevalve Amet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Raudtee-ehituse tegevuslubade väljastamine";"Tehnilise Järelevalve Amet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Tegevusloa taotluse läbivaatamine";"Veeteede Amet";"https://www.emde.ee/vi-iloginedit";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"eID kasutajatugi";"Riigi Infosüsteemi Amet (RIA)";"http://www.id.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Raudteeseaduse tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Elektrituruseaduse tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Gaasiettevõtja tegevusloa taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Soojusettevõtja tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Postiteenuse tegevusloa taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Lennuohutuse järelevalve süsteem";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Aeronavigatsiooniteenuse osutaja sertifikaadi taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Lennujuhtimis- ja raadionavigatsiooniseadmete sertifitseermise taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Lennuvälja või kopteriväljaku sertifikaadi taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
" Vastavushindamisasutusena tegutsemise loa väljastamine";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Ehitisregistris registreeritud vallasvara";"Haridus- ja Teadusministeerium";"https://www.ehr.ee/app/esileht?1";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Kinnistul paiknevad Ehitisregistris registreeritud ehitised";"Majandus- ja Kommunikatsiooniministeerium";"https://www.ehr.ee/app/esileht?0";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Registreeringute ja lubadega seotud otsingud majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/infoleht/21";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Tegevusloa otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/";"Eiseteenindus.rahulolu";0;"Eiseteenindus";"rahulolu"
"Majandustegevusteade alkohoolse joogi jaemüügiks";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade alkohoolse joogi hulgimüügiks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade tubakatoote jaemüügiks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade kahjuritõrjega tegelemiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade ehitamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade sideteenuse osutamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade kaubandusliku loterii korraldamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade tulekustuti hooldamiseks ja tuletõrje voolikusüsteemi kontrollimiseks ja hooldamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade reisiettevõtjana tegutsemisks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Majandustegevusteade renditööjõu vahendamiseks ja tööjõu pakkumiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Riigi kinnisvara valitseja andmed";"Rahandusministeerium";"https://riigivara.fin.ee/kvr/vara/kinnisvarad";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Tuleohutuse enesekontrolli aruannete esitamine";"Päästeamet";"https://tuleohutusaruanne.ee/";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Arhivaalide tellimine uurimissaali";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Arhivaalide tellimine kauglaenutusse";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Arhivaalidest analoogkoopiate tellimine";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Arhivaalidest digikoopiate tellimine (digiteerimine)";"Rahvusarhiiv";"www.ra.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Arhiiviteatiste väljastamine isikute õiguste ja tehingute tõestamiseks";"Rahvusarhiiv";"www.ra.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Vastuskirjade väljastamine vastusena isikute muudel eesmärkidel esitatud päringutele (mitte õiguste ja tehingute tõestamiseks)";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Arhivaalide baasil publikatsioonide avaldamine ja müük";"Rahvusarhiiv";"http://www.ra.ee/vau/index.php/et/shop";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Avalike asutuste liigitusskeemide kooskõlastamine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Avalike arhivaalide kogumine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Eraõiguslike isikute arhivaalide kogumine";"Rahvusarhiiv";"http://www.ra.ee/et/eraoiguslike-asutuste-arhivaalide-kogumine/";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Avalike asutuste tähtajaliste digitaaldokumentide säilitamine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"FOKA registris andmete registreerimine";"Keskkonnaamet";"https://eteenus.keskkonnaamet.ee";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Keskkonnatasu deklaratsiooni esitamine";"Keskkonnaamet";"https://eteenus.keskkonnaamet.ee/";"Eiseteenindus.rahulolu";NA;"Eiseteenindus";"rahulolu"
"Lõhkematerjali käitlemisloa taotluse läbivaatamine";"Tehnilise Järelevalve Amet";"https://emoodul.tja.ee/web/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Pürotehnilise toote käitlemise tegevusloa taotluse läbivaatamine";"Tehnilise Järelevalve Amet";"https://emoodul.tja.ee/web/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Paigalidse või seadmega toimunud õnnetusest teavitamine";"Tehnilise Järelevalve Amet";"https://emoodul.tja.ee";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Registreerimiskohustusega masinate tehniliste kontrollide andmekogu pidamine";"Tehnilise Järelevalve Amet";"https://jvis.tja.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Raadiosagedusloa väljastamine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/sagedusluba/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Raadiosagedusloa pikendamine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/sagedusluba/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Raadiosagedusloa muutmine";"Tehnilise Järelevalve Amet";"Sagedusloa omanik esitab TJA-le  taotluse sagedusloa tingimuste muutmiseks.";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Raadiosagedusloaga kehtestatud õiguste ja kohustuste üleandmine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/sagedusluba/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Veeremi remondiloa väljastamine";"Tehnilise Järelevalve Amet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Raudtee-ehituse tegevuslubade väljastamine";"Tehnilise Järelevalve Amet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Tegevusloa taotluse läbivaatamine";"Veeteede Amet";"https://www.emde.ee/vi-iloginedit";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"eID kasutajatugi";"Riigi Infosüsteemi Amet (RIA)";"http://www.id.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Raudteeseaduse tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Elektrituruseaduse tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Gaasiettevõtja tegevusloa taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Soojusettevõtja tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Postiteenuse tegevusloa taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Lennuohutuse järelevalve süsteem";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Aeronavigatsiooniteenuse osutaja sertifikaadi taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Lennujuhtimis- ja raadionavigatsiooniseadmete sertifitseermise taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Lennuvälja või kopteriväljaku sertifikaadi taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
" Vastavushindamisasutusena tegutsemise loa väljastamine";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Ehitisregistris registreeritud vallasvara";"Haridus- ja Teadusministeerium";"https://www.ehr.ee/app/esileht?1";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Kinnistul paiknevad Ehitisregistris registreeritud ehitised";"Majandus- ja Kommunikatsiooniministeerium";"https://www.ehr.ee/app/esileht?0";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Registreeringute ja lubadega seotud otsingud majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/infoleht/21";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Tegevusloa otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"Majandustegevusteade alkohoolse joogi jaemüügiks";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade alkohoolse joogi hulgimüügiks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade tubakatoote jaemüügiks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade kahjuritõrjega tegelemiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade ehitamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade sideteenuse osutamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade kaubandusliku loterii korraldamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade tulekustuti hooldamiseks ja tuletõrje voolikusüsteemi kontrollimiseks ja hooldamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade reisiettevõtjana tegutsemisks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Majandustegevusteade renditööjõu vahendamiseks ja tööjõu pakkumiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Riigi kinnisvara valitseja andmed";"Rahandusministeerium";"https://riigivara.fin.ee/kvr/vara/kinnisvarad";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Tuleohutuse enesekontrolli aruannete esitamine";"Päästeamet";"https://tuleohutusaruanne.ee/";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Arhivaalide tellimine uurimissaali";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Arhivaalide tellimine kauglaenutusse";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Arhivaalidest analoogkoopiate tellimine";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Arhivaalidest digikoopiate tellimine (digiteerimine)";"Rahvusarhiiv";"www.ra.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Arhiiviteatiste väljastamine isikute õiguste ja tehingute tõestamiseks";"Rahvusarhiiv";"www.ra.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Vastuskirjade väljastamine vastusena isikute muudel eesmärkidel esitatud päringutele (mitte õiguste ja tehingute tõestamiseks)";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Arhivaalide baasil publikatsioonide avaldamine ja müük";"Rahvusarhiiv";"http://www.ra.ee/vau/index.php/et/shop";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Avalike asutuste liigitusskeemide kooskõlastamine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Avalike arhivaalide kogumine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Eraõiguslike isikute arhivaalide kogumine";"Rahvusarhiiv";"http://www.ra.ee/et/eraoiguslike-asutuste-arhivaalide-kogumine/";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Avalike asutuste tähtajaliste digitaaldokumentide säilitamine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"FOKA registris andmete registreerimine";"Keskkonnaamet";"https://eteenus.keskkonnaamet.ee";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Keskkonnatasu deklaratsiooni esitamine";"Keskkonnaamet";"https://eteenus.keskkonnaamet.ee/";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"Lõhkematerjali käitlemisloa taotluse läbivaatamine";"Tehnilise Järelevalve Amet";"https://emoodul.tja.ee/web/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Pürotehnilise toote käitlemise tegevusloa taotluse läbivaatamine";"Tehnilise Järelevalve Amet";"https://emoodul.tja.ee/web/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Paigalidse või seadmega toimunud õnnetusest teavitamine";"Tehnilise Järelevalve Amet";"https://emoodul.tja.ee";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Registreerimiskohustusega masinate tehniliste kontrollide andmekogu pidamine";"Tehnilise Järelevalve Amet";"https://jvis.tja.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Raadiosagedusloa väljastamine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/sagedusluba/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Raadiosagedusloa pikendamine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/sagedusluba/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Raadiosagedusloa muutmine";"Tehnilise Järelevalve Amet";"Sagedusloa omanik esitab TJA-le  taotluse sagedusloa tingimuste muutmiseks.";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Raadiosagedusloaga kehtestatud õiguste ja kohustuste üleandmine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/sagedusluba/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Veeremi remondiloa väljastamine";"Tehnilise Järelevalve Amet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Raudtee-ehituse tegevuslubade väljastamine";"Tehnilise Järelevalve Amet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Tegevusloa taotluse läbivaatamine";"Veeteede Amet";"https://www.emde.ee/vi-iloginedit";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"eID kasutajatugi";"Riigi Infosüsteemi Amet (RIA)";"http://www.id.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Raudteeseaduse tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Elektrituruseaduse tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Gaasiettevõtja tegevusloa taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Soojusettevõtja tegevuslubade taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Postiteenuse tegevusloa taotlemine";"Konkurentsiamet";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Lennuohutuse järelevalve süsteem";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Aeronavigatsiooniteenuse osutaja sertifikaadi taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Lennujuhtimis- ja raadionavigatsiooniseadmete sertifitseermise taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Lennuvälja või kopteriväljaku sertifikaadi taotluse esitamine";"Lennuamet";"https://lois.ecaa.ee/LoginClient.aspx";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
" Vastavushindamisasutusena tegutsemise loa väljastamine";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Ehitisregistris registreeritud vallasvara";"Haridus- ja Teadusministeerium";"https://www.ehr.ee/app/esileht?1";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Kinnistul paiknevad Ehitisregistris registreeritud ehitised";"Majandus- ja Kommunikatsiooniministeerium";"https://www.ehr.ee/app/esileht?0";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Registreeringute ja lubadega seotud otsingud majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/infoleht/21";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Tegevusloa otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"https://mtr.mkm.ee/";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"Majandustegevusteade alkohoolse joogi jaemüügiks";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade alkohoolse joogi hulgimüügiks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade tubakatoote jaemüügiks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade kahjuritõrjega tegelemiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade ehitamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade sideteenuse osutamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade kaubandusliku loterii korraldamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade tulekustuti hooldamiseks ja tuletõrje voolikusüsteemi kontrollimiseks ja hooldamiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade reisiettevõtjana tegutsemisks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Majandustegevusteade renditööjõu vahendamiseks ja tööjõu pakkumiseks";"Majandus- ja Kommunikatsiooniministeerium";"http://mtr.mkm.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Riigi kinnisvara valitseja andmed";"Rahandusministeerium";"https://riigivara.fin.ee/kvr/vara/kinnisvarad";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Tuleohutuse enesekontrolli aruannete esitamine";"Päästeamet";"https://tuleohutusaruanne.ee/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Arhivaalide tellimine uurimissaali";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Arhivaalide tellimine kauglaenutusse";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Arhivaalidest analoogkoopiate tellimine";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Arhivaalidest digikoopiate tellimine (digiteerimine)";"Rahvusarhiiv";"www.ra.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Arhiiviteatiste väljastamine isikute õiguste ja tehingute tõestamiseks";"Rahvusarhiiv";"www.ra.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Vastuskirjade väljastamine vastusena isikute muudel eesmärkidel esitatud päringutele (mitte õiguste ja tehingute tõestamiseks)";"Rahvusarhiiv";"www.ra.ee/vau";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Arhivaalide baasil publikatsioonide avaldamine ja müük";"Rahvusarhiiv";"http://www.ra.ee/vau/index.php/et/shop";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Avalike asutuste liigitusskeemide kooskõlastamine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Avalike arhivaalide kogumine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Eraõiguslike isikute arhivaalide kogumine";"Rahvusarhiiv";"http://www.ra.ee/et/eraoiguslike-asutuste-arhivaalide-kogumine/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Avalike asutuste tähtajaliste digitaaldokumentide säilitamine";"Rahvusarhiiv";"http://www.ra.ee/et/uam/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"FOKA registris andmete registreerimine";"Keskkonnaamet";"https://eteenus.keskkonnaamet.ee";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
"Keskkonnatasu deklaratsiooni esitamine";"Keskkonnaamet";"https://eteenus.keskkonnaamet.ee/";"Eiseteenindus.ajakulu";NA;"Eiseteenindus";"ajakulu"
